,Dates,Country,Confirmed Cases,Deaths,Confirmed Cases (Scaled for purpose of graph)
415,2020-02-18,Armenia,0,0,0.0
416,2020-02-21,Armenia,0,0,0.0
417,2020-02-24,Armenia,0,0,0.0
418,2020-02-27,Armenia,0,0,0.0
419,2020-03-01,Armenia,1,0,0.881373587019543
420,2020-03-04,Armenia,1,0,0.881373587019543
421,2020-03-07,Armenia,1,0,0.881373587019543
422,2020-03-10,Armenia,1,0,0.881373587019543
423,2020-03-13,Armenia,8,0,2.7764722807237177
424,2020-03-16,Armenia,52,0,4.644483341943245
425,2020-03-19,Armenia,115,0,5.438098211978882
426,2020-03-22,Armenia,194,0,5.961011982133345
427,2020-03-25,Armenia,265,0,6.272880566512917
428,2020-03-28,Armenia,407,1,6.701961875214392
429,2020-03-31,Armenia,532,3,6.9697915532177355
430,2020-04-03,Armenia,736,7,7.294377760801971
431,2020-04-06,Armenia,833,8,7.418181183014767
432,2020-04-09,Armenia,921,10,7.518607511542681
433,2020-04-12,Armenia,1013,13,7.613818928433128
434,2020-04-15,Armenia,1111,17,7.70616317274002
435,2020-04-18,Armenia,1248,20,7.822444890002511
436,2020-04-21,Armenia,1401,24,7.938088854265928
437,2020-04-24,Armenia,1596,27,8.068403056716054
438,2020-04-27,Armenia,1808,29,8.193123797991227
439,2020-04-30,Armenia,2066,32,8.326516888810083
440,2020-05-03,Armenia,2386,35,8.470520827131413
441,2020-05-06,Armenia,2782,40,8.62407258534506
442,2020-05-09,Armenia,3175,44,8.756210116686786
443,2020-05-12,Armenia,3538,47,8.864464075251803
444,2020-05-15,Armenia,4044,52,8.998136775987147
445,2020-05-18,Armenia,4823,61,9.174298611376368
446,2020-05-21,Armenia,5606,70,9.324739920239562
447,2020-05-24,Armenia,6661,81,9.4971720886077
448,2020-05-27,Armenia,7774,98,9.651687296108785
449,2020-05-30,Armenia,8927,127,9.789982854876412
450,2020-06-02,Armenia,10009,158,9.90438715027447
451,2020-06-05,Armenia,11817,183,10.07044163398926
452,2020-06-08,Armenia,13325,211,10.190544431002
453,2020-06-11,Armenia,14669,245,10.286638884209529
454,2020-06-14,Armenia,16667,269,10.414333177002085
455,2020-06-17,Armenia,18033,302,10.493105873036
456,2020-06-20,Armenia,19708,332,10.581927104867457
457,2020-06-23,Armenia,21006,372,10.645710571309236
458,2020-06-26,Armenia,23247,410,10.747078551454607
459,2020-06-29,Armenia,25127,433,10.824845425139268
460,2020-07-02,Armenia,26658,459,10.8839917530757
461,2020-07-05,Armenia,28606,484,10.9545189458803
462,2020-07-08,Armenia,29820,521,10.996081769159817
463,2020-07-11,Armenia,31392,559,11.047455543178724
464,2020-01-22,Australia,0,0,0.0
465,2020-01-25,Australia,0,0,0.0
466,2020-01-28,Australia,5,0,2.3124383412727525
467,2020-01-31,Australia,9,0,2.8934439858858716
468,2020-02-03,Australia,12,0,3.179785437699879
469,2020-02-06,Australia,14,0,3.3334775868839928
470,2020-02-09,Australia,15,0,3.4023066454805946
471,2020-02-12,Australia,15,0,3.4023066454805946
472,2020-02-15,Australia,15,0,3.4023066454805946
473,2020-02-18,Australia,15,0,3.4023066454805946
474,2020-02-21,Australia,15,0,3.4023066454805946
475,2020-02-24,Australia,15,0,3.4023066454805946
476,2020-02-27,Australia,15,0,3.4023066454805946
477,2020-03-01,Australia,27,1,3.989326805819546
478,2020-03-04,Australia,52,2,4.644483341943245
479,2020-03-07,Australia,63,2,4.836344889159275
480,2020-03-10,Australia,107,3,5.365997850274879
481,2020-03-13,Australia,200,3,5.991470797049389
482,2020-03-16,Australia,377,3,6.625394126968762
483,2020-03-19,Australia,681,6,7.216710025779793
484,2020-03-22,Australia,1549,7,8.038512125169468
485,2020-03-25,Australia,2364,8,8.461257603820686
486,2020-03-28,Australia,3640,14,8.892886160059225
487,2020-03-31,Australia,4559,18,9.118005772801592
488,2020-04-03,Australia,5330,28,9.274253706519895
489,2020-04-06,Australia,5797,40,9.358243009339
490,2020-04-09,Australia,6108,51,9.410501853599504
491,2020-04-12,Australia,6315,60,9.443830221613466
492,2020-04-15,Australia,6440,63,9.463431005686276
493,2020-04-18,Australia,6568,67,9.48311183748748
494,2020-04-21,Australia,6645,67,9.494767157369033
495,2020-04-24,Australia,6677,79,9.499571250025417
496,2020-04-27,Australia,6721,83,9.506139418064333
497,2020-04-30,Australia,6766,93,9.512812535361647
498,2020-05-03,Australia,6822,95,9.521055148910296
499,2020-05-06,Australia,6894,97,9.531553932896898
500,2020-05-09,Australia,6939,97,9.538060136651632
501,2020-05-12,Australia,6980,98,9.543951381447684
502,2020-05-15,Australia,7035,98,9.551800155159835
503,2020-05-18,Australia,7068,99,9.556480019003873
504,2020-05-21,Australia,7095,101,9.560292775120415
505,2020-05-24,Australia,7114,102,9.56296713800818
506,2020-05-27,Australia,7150,103,9.568014821138213
507,2020-05-30,Australia,7192,103,9.573871761544668
508,2020-06-02,Australia,7229,102,9.57900317834416
509,2020-06-05,Australia,7252,102,9.582179757188307
510,2020-06-08,Australia,7267,102,9.584246015910598
511,2020-06-11,Australia,7289,102,9.587268826647641
512,2020-06-14,Australia,7335,102,9.593559875783676
513,2020-06-17,Australia,7391,102,9.601165507921333
514,2020-06-20,Australia,7461,102,9.61059191752249
515,2020-06-23,Australia,7521,103,9.618601571806009
516,2020-06-26,Australia,7601,104,9.629182281453101
517,2020-06-29,Australia,7834,104,9.65937569885927
518,2020-07-02,Australia,8066,104,9.688560159835845
519,2020-07-05,Australia,8583,106,9.750685965671774
520,2020-07-08,Australia,9056,106,9.804329984051275
521,2020-07-11,Australia,9797,108,9.882978678509264
522,2020-01-22,Austria,0,0,0.0
523,2020-01-25,Austria,0,0,0.0
524,2020-01-28,Austria,0,0,0.0
525,2020-01-31,Austria,0,0,0.0
526,2020-02-03,Austria,0,0,0.0
527,2020-02-06,Austria,0,0,0.0
528,2020-02-09,Austria,0,0,0.0
529,2020-02-12,Austria,0,0,0.0
530,2020-02-15,Austria,0,0,0.0
531,2020-02-18,Austria,0,0,0.0
532,2020-02-21,Austria,0,0,0.0
533,2020-02-24,Austria,0,0,0.0
534,2020-02-27,Austria,3,0,1.8184464592320668
535,2020-03-01,Austria,14,0,3.3334775868839928
536,2020-03-04,Austria,29,0,4.060740143244572
537,2020-03-07,Austria,79,0,5.062635088303318
538,2020-03-10,Austria,182,0,5.897161414948955
